Agência,Mercadoria,Sentido,Saldo Total,Chegada,Porto
WILHELMSEN PORT SERVICE BRASIL LTDA,VEICULOS,Imp/Exp,"1.407,000 Tons.",15/09/2025 02:20,Paranaguá
ZIM DO BRASIL,CONTÊINERES (CONTENTORES) INCL,Imp/Exp,450 Movs.,14/09/2025 23:30,Paranaguá
LACHMANN,FUEL-OIL (OLEO COMBUSTIVEL),Imp,"15.400,000 Tons.",13/09/2025 08:18,Paranaguá
ROCHAMAR,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,"4.352,050 Tons.",14/09/2025 14:00,Paranaguá
LACHMANN,VEICULOS,Imp/Exp,"2.987,000 Tons.",13/09/2025 15:30,Paranaguá
CARGONAVE,MILHO,Exp,"6.412,620 Tons.",10/09/2025 14:00,Paranaguá
WILSON SONS,FARELO DE SOJA,Exp,"12.885,380 Tons.",08/09/2025 08:50,Paranaguá
FERTIMPORT,FARELO DE SOJA,Exp,"17.160,020 Tons.",07/09/2025 15:54,Paranaguá
ROCHAMAR,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,"13.345,000 Tons.",01/09/2025 11:12,Paranaguá
WILLIAMS,SOJA,Exp,"5.442,090 Tons.",30/08/2025 01:10,Paranaguá
WILLIAMS,OUTS.ACUCARES,Exp,"4.310,560 Tons.",29/08/2025 15:20,Paranaguá
WILSON SONS,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,"4.155,620 Tons.",29/08/2025 01:20,Paranaguá
FORTENAVE,AÇÚCAR,Exp,"32.604,000 Tons.",15/08/2025 00:50,Paranaguá
FORTENAVE,CLORETOS DE POTASSIO,Imp,"14.218,170 Tons.",14/08/2025 02:20,Paranaguá
FORTENAVE,CLORETOS DE POTASSIO,Imp,,14/08/2025 02:20,Paranaguá
FORTENAVE,AÇÚCAR,Exp,"3.406,580 Tons.",13/08/2025 03:30,Paranaguá
AGENCIA MARITIMA NAABSA,UREIA,Imp,"6.030,040 Tons.",03/08/2025 15:30,Paranaguá
AGENCIA MARITIMA NAABSA,UREIA,Imp,,03/08/2025 15:30,Paranaguá
ZPORT,SULFATO DE AMONIO,Imp,"12.302,980 Tons.",31/07/2025 04:30,Paranaguá
ZPORT,SULFATO DE AMONIO,Imp,,31/07/2025 04:30,Paranaguá
