Produto,Sentido,Porto,volume_total
ACUCAR A GRANEL,Exp,Santos,825314.0
AÇÚCAR,Exp,Paranaguá,36010.58
CLORETOS DE POTASSIO,Imp,Paranaguá,14218.17
CONTÊINERES (CONTENTORES) INCL,Exp/Imp,Paranaguá,450.0
ETHANOL,Exp,Santos,17600.0
FARELO DE SOJA,Exp,Paranaguá,30045.4
FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,Paranaguá,21852.67
FERTILIZANTES,Exp,Santos,23650.0
FERTILIZANTES,Imp,Santos,676637.0
FERTILIZANTESFERTILIZANTES,Exp/Imp,Santos,800024900.0
FUEL-OIL (OLEO COMBUSTIVEL),Imp,Paranaguá,15400.0
GAS LIQUEFEITO,Imp,Santos,27000.0
GASOLINA COMUM,Exp,Santos,25000.0
GRAN.LIQUIDO NAO ESPECIF,Exp,Santos,23352.0
GRAN.LIQUIDO NAO ESPECIF,Imp,Santos,68226.0
GRAN.LIQUIDO NAO ESPECIFGRAN.LIQUIDO NAO ESPECIF,Exp/Imp,Santos,640011999.0
GRAN.SOLIDO NAO ESPECIF,Imp,Santos,30524.0
MILHO,Exp,Paranaguá,6412.62
MILHO A GRANEL,Exp,Santos,1042401.0
OLEO COMBUSTIVEL,Exp,Santos,150000.0
OLEO DIESEL,Exp,Santos,96000.0
OLEO DIESEL,Imp,Santos,94750.0
OUTS.ACUCARES,Exp,Paranaguá,4310.56
PELLETS A GRANEL,Exp,Santos,186500.0
SAL A GRANEL,Imp,Santos,50050.0
SODA CAUSTICA,Imp,Santos,2635.0
SOJA,Exp,Paranaguá,5442.09
SOJA A GRANEL,Exp,Santos,729263.0
SULFATO DE AMONIO,Imp,Paranaguá,12302.98
TRIGO A GRANEL,Imp,Santos,33000.0
UREIA,Imp,Paranaguá,6030.04
VEICULOS,Exp/Imp,Paranaguá,4394.0
