Agencia,Produto,Sentido,Volume,Data_chegada,Porto
LACHMANN,FUEL-OIL (OLEO COMBUSTIVEL),Imp,27000.0,13/09/2025 08:18,Paranaguá
ROCHAMAR,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,5000.0,14/09/2025 14:00,Paranaguá
LACHMANN,VEICULOS,Exp/Imp,2987.0,14/09/2025 20:50,Paranaguá
LACHMANN,OLEO DIESEL,Imp,20500.0,12/09/2025 16:00,Paranaguá
CARGONAVE,MILHO,Exp,21145.06,10/09/2025 14:00,Paranaguá
WILSON SONS,FARELO DE SOJA,Exp,29856.86,08/09/2025 08:50,Paranaguá
FERTIMPORT,FARELO DE SOJA,Exp,33225.38,07/09/2025 15:54,Paranaguá
ROCHAMAR,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,13345.0,01/09/2025 11:12,Paranaguá
CARGONAVE,MILHO,Exp,1824.98,30/08/2025 07:10,Paranaguá
WILLIAMS,OUTS.ACUCARES,Exp,4678.85,29/08/2025 15:20,Paranaguá
WILLIAMS,SOJA,Exp,24308.29,30/08/2025 01:10,Paranaguá
WILSON SONS,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,11229.45,29/08/2025 01:20,Paranaguá
FORTENAVE,CLORETOS DE POTASSIO,Imp,16834.75,14/08/2025 02:20,Paranaguá
FORTENAVE,CLORETOS DE POTASSIO,Imp,10690.05,,Paranaguá
FORTENAVE,AÇÚCAR,Exp,1368.33,13/08/2025 03:30,Paranaguá
AGENCIA MARITIMA NAABSA,UREIA,Imp,8449.34,03/08/2025 15:30,Paranaguá
AGENCIA MARITIMA NAABSA,UREIA,Imp,5553.7,,Paranaguá
ZPORT,SULFATO DE AMONIO,Imp,15882.98,31/07/2025 04:30,Paranaguá
ZPORT,SULFATO DE AMONIO,Imp,15209.38,10/09/2025 03:15,Paranaguá
