Agencia,Produto,Sentido,Volume,Data_chegada,Porto
WILHELMSEN PORT SERVICE BRASIL LTDA,VEICULOS,Exp/Imp,"1.407,000 Tons.",15/09/2025 02:20,Paranaguá
ZIM DO BRASIL,CONTÊINERES (CONTENTORES) INCL,Exp/Imp,450 Movs.,14/09/2025 23:30,Paranaguá
LACHMANN,FUEL-OIL (OLEO COMBUSTIVEL),Imp,"15.400,000 Tons.",13/09/2025 08:18,Paranaguá
ROCHAMAR,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,"4.352,050 Tons.",14/09/2025 14:00,Paranaguá
LACHMANN,VEICULOS,Exp/Imp,"2.987,000 Tons.",13/09/2025 15:30,Paranaguá
CARGONAVE,MILHO,Exp,"6.412,620 Tons.",10/09/2025 14:00,Paranaguá
WILSON SONS,FARELO DE SOJA,Exp,"12.885,380 Tons.",08/09/2025 08:50,Paranaguá
FERTIMPORT,FARELO DE SOJA,Exp,"17.160,020 Tons.",07/09/2025 15:54,Paranaguá
ROCHAMAR,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,"13.345,000 Tons.",01/09/2025 11:12,Paranaguá
WILLIAMS,SOJA,Exp,"5.442,090 Tons.",30/08/2025 01:10,Paranaguá
WILLIAMS,OUTS.ACUCARES,Exp,"4.310,560 Tons.",29/08/2025 15:20,Paranaguá
WILSON SONS,FERTILIZ.MINER.QUIM.C/NITROGEN,Imp,"4.155,620 Tons.",29/08/2025 01:20,Paranaguá
FORTENAVE,AÇÚCAR,Exp,"32.604,000 Tons.",15/08/2025 00:50,Paranaguá
FORTENAVE,CLORETOS DE POTASSIO,Imp,"14.218,170 Tons.",14/08/2025 02:20,Paranaguá
FORTENAVE,CLORETOS DE POTASSIO,Imp,,14/08/2025 02:20,Paranaguá
FORTENAVE,AÇÚCAR,Exp,"3.406,580 Tons.",13/08/2025 03:30,Paranaguá
AGENCIA MARITIMA NAABSA,UREIA,Imp,"6.030,040 Tons.",03/08/2025 15:30,Paranaguá
AGENCIA MARITIMA NAABSA,UREIA,Imp,,03/08/2025 15:30,Paranaguá
ZPORT,SULFATO DE AMONIO,Imp,"12.302,980 Tons.",31/07/2025 04:30,Paranaguá
ZPORT,SULFATO DE AMONIO,Imp,,31/07/2025 04:30,Paranaguá
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,Exp,16000,28/08/2025 08:18:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,ETHANOL,Exp,17600,07/09/2025 14:00:00,Santos
NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,OLEO DIESEL,Imp,36892,08/09/2025 11:30:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,62000,14/09/2025 14:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GASOLINA COMUM,Exp,25000,14/09/2025 14:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,Imp,4000,15/09/2025,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIFGRAN.LIQUIDO NAO ESPECIF,Exp/Imp,640011999,15/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,Imp,5000,15/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,30000,15/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,26000,15/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,Imp,5000,15/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,Exp,32000,15/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,Exp,35000,15/09/2025,Santos
WILHELMSEN PORT SERVICES BRASIL LTDA,GRAN.LIQUIDO NAO ESPECIF,Imp,17500,15/09/2025,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,Imp,8160,15/09/2025 06:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,Exp,45000,16/09/2025,Santos
ORION OPERACOES PORTUARIAS LTDA,SODA CAUSTICA,Imp,2635,16/09/2025 01:00:00,Santos
