agencia,produto,sentido,porto,volume,data_chegada
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,EMB,Santos,16000,28/08/2025 08:18:00
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,EMB,Santos,40000,06/09/2025 03:30:00
WILLIAMS SERVICOS MARITIMOS LTDA.,ETHANOL,EMB,Santos,17600,07/09/2025 14:00:00
NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,OLEO DIESEL,DESC,Santos,36892,08/09/2025 11:30:00
TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA,OLEO DIESEL,DESC,Santos,41933,10/09/2025 12:30:00
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,DESC,Santos,4000,12/09/2025
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIFGRAN.LIQUIDO NAO ESPECIF,EMBDESC,Santos,640011999,12/09/2025
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,DESC,Santos,5000,12/09/2025
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,EMB,Santos,26000,12/09/2025
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,DESC,Santos,5000,12/09/2025
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,EMB,Santos,32000,12/09/2025
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,EMB,Santos,30000,12/09/2025
WILHELMSEN PORT SERVICES BRASIL LTDA,GRAN.LIQUIDO NAO ESPECIF,DESC,Santos,17500,12/09/2025
RELIANCE AGENCIAMENTO E SERVICOS PORTUARIOS LTDA.,SUCOS CITRICOS A GRANEL,EMB,Santos,30080,13/09/2025 08:00:00
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,EMB,Santos,35000,14/09/2025
ORION OPERACOES PORTUARIAS LTDA,ETHANOLPRODUTOS QUIMICOS,EMBDESC,Santos,24006210,14/09/2025 05:00:00
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,EMB,Santos,62000,15/09/2025
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO COMBUSTIVEL,EMB,Santos,30000,15/09/2025
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GASOLINA COMUM,EMB,Santos,25000,15/09/2025
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,DESC,Santos,8160,15/09/2025 06:00:00
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,EMB,Santos,45000,16/09/2025
ORION OPERACOES PORTUARIAS LTDA,SODA CAUSTICA,DESC,Santos,2635,16/09/2025 01:00:00
WILHELMSEN PORT SERVICES BRASIL LTDA,GRAN.LIQUIDO NAO ESPECIF,DESC,Santos,15000,17/09/2025
UNIMAR AGENCIAMENTOS MARITIMOS LTDA,GRAN.LIQUIDO NAO ESPECIF,EMB,Santos,23352,17/09/2025
NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,OLEO DIESEL,DESC,Santos,57858,19/09/2025 13:00:00
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,DESC,Santos,18000,23/09/2025
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,Santos,72600,21/08/2025 20:00:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,65000,23/08/2025 18:24:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,Santos,65800,28/08/2025 01:30:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,SOJA A GRANEL,EMB,Santos,65000,29/08/2025 00:06:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,PELLETS A GRANEL,EMB,Santos,68500,29/08/2025 23:42:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,68000,01/09/2025 20:06:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,EMB,Santos,70804,02/09/2025 11:20:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,70000,03/09/2025 12:00:00
CARGILL AGRICOLA S/A.,PELLETS A GRANEL,EMB,Santos,60000,03/09/2025 15:30:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,PELLETS A GRANEL,EMB,Santos,64775,04/09/2025 17:30:00
ROCHAMAR AGENCIA MARITIMA S/A,SOJA A GRANEL,EMB,Santos,63000,05/09/2025 23:10:00
FERTIMPORT S/A.,SOJA A GRANEL,EMB,Santos,63000,06/09/2025 04:24:00
CARGILL AGRICOLA S/A.,MILHO A GRANEL,EMB,Santos,42000,06/09/2025 07:18:00
FERTIMPORT S/A.,SOJA A GRANEL,EMB,Santos,66000,07/09/2025 00:12:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,80000,08/09/2025 09:25:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,68520,09/09/2025 15:00:00
FERTIMPORT S/A.,MILHO A GRANEL,EMB,Santos,71500,09/09/2025 17:00:00
WILLIAMS SERVICOS MARITIMOS LTDA.,SOJA A GRANEL,EMB,Santos,70759,10/09/2025 08:10:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,70000,10/09/2025 13:48:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,EMB,Santos,66000,11/09/2025 00:42:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,Santos,65000,11/09/2025 10:12:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,65000,11/09/2025 16:30:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,Santos,70510,12/09/2025
ROCHAMAR AGENCIA MARITIMA S/A,SOJA A GRANEL,EMB,Santos,63000,12/09/2025
WAYPOINT AGENCIA MARITIMA LTDA,SOJA A GRANEL,EMB,Santos,55000,12/09/2025
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,Santos,67500,12/09/2025
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,65000,12/09/2025
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,21850,12/09/2025 05:05:00
FERTIMPORT S/A.,MILHO A GRANEL,EMB,Santos,68000,13/09/2025 05:00:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,EMB,Santos,67500,13/09/2025 08:00:00
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,EMB,Santos,70450,13/09/2025 08:00:00
FERTIMPORT S/A.,SOJA A GRANEL,EMB,Santos,66000,14/09/2025 01:00:00
WAYPOINT AGENCIA MARITIMA LTDA,MILHO A GRANEL,EMB,Santos,58721,15/09/2025 05:00:00
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,EMB,Santos,68500,15/09/2025 08:00:00
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",SOJA A GRANEL,EMB,Santos,69000,15/09/2025 10:00:00
"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO",SOJA A GRANEL,EMB,Santos,67250,16/09/2025 10:00:00
WORLD SHIPPING AGENCIAMENTOS LTDA,FERTILIZANTES,DESC,Santos,47000,18/08/2025 14:06:00
