0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,77561,0415902025,218,EUROPE,9285988,"334,00","107.820,00",BB,Imp/Exp,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,TCP(US1),CONTÊINERES (CONTENTORES) INCL,10/09/2025 06:00,09/09/2025 20:00,,,0 Movs.,700 Movs.,0 Movs.,700 Movs.,700 Movs.
2,77399,0396282025,143,KOUROS,9374507,"183,00","49.999,00",BB,Exp,CARGILL AGRICOLA,CATTALINI,OLEO DE SOJA,10/09/2025 05:00,10/09/2025 02:00,10/09/2025 05:00 - 11/09/2025 15:28,"8.000,000","0,000 Tons.","10.000,000 Tons.","6.051,000 Tons.","3.949,000 Tons.","3.949,000 Tons."
3,77570,0419482025,142,BUENA CONFIANZA,9759264,"119,95","8.764,91",BE,Imp,LACHMANN,PETROBRAS TRANSPORTE S.A - TRANSPETRO,GLP,10/09/2025 06:30,08/09/2025 10:45,10/09/2025 06:30 - 13/09/2025 07:16,"2.800,000","0,000 Tons.","8.200,000 Tons.","1.275,000 Tons.","6.925,000 Tons.","6.925,000 Tons."
4,76932,0316752025,215,IRENES RESOLVE,9227273,"257,38","51.060,00",BB,Imp/Exp,ROCHAMAR,TCP(SAT),CONTÊINERES (CONTENTORES) INCL,09/09/2025 14:10,08/09/2025 12:12,,,0 Movs.,1.050 Movs.,0 Movs.,1.050 Movs.,1.050 Movs.
5,77451,0408232025,201,SSI INVICTUS,1029467,"199,90","63.735,00",BE,Exp,FERTIMPORT,TIBAGI,SOJA,10/09/2025 11:25,07/09/2025 16:12,10/09/2025 11:25 - 11/09/2025 21:09,"48.000,000","0,000 Tons.","57.530,000 Tons.","6.482,000 Tons.","51.047,980 Tons.","51.047,980 Tons."
6,77509,0408402025,141,ATROTOS,9953432,"183,06","50.113,00",BB,Imp,NORTH STAR,CBL - COMPANHIA BRASILEIRA DE LOGÍSTICA,OLEO DIESEL,10/09/2025 03:00,08/09/2025 03:42,10/09/2025 03:00 - 12/09/2025 11:37,"11.229,615","0,000 Tons.","24.628,000 Tons.","11.021,000 Tons.","13.607,000 Tons.","21.876,000 Tons."
BB,Imp,NORTH STAR,CATTALINI,OLEO DIESEL,10/09/2025 03:00,08/09/2025 03:42,,,"0,000 Tons.","8.269,000 Tons.","0,000 Tons.","8.269,000 Tons.",,,,,,,,,
7,77333,0382742025,144,HAFNIA TOPAZ,9753686,"182,90","49.561,00",BB,Imp,ROCHAMAR,CATTALINI,METANOL,07/09/2025 15:55,05/09/2025 20:30,07/09/2025 15:55 - 10/09/2025 10:12,"15.000,000","7.961,000 Tons.","40.123,000 Tons.","25.063,000 Tons.","15.060,350 Tons.","15.060,350 Tons."
8,77396,0399122025,113,LADY ZANDAVI,9573969,"169,37","28.374,00",BB,Exp,WILLIAMS,PORTO PONTA DO FELIX S/A,OUTS.ACUCARES,06/09/2025 16:12,29/08/2025 15:20,06/09/2025 16:12 - 16/09/2025 06:10,"2.200,000","1.781,000 Tons.","17.051,000 Tons.","5.000,000 Tons.","12.050,740 Tons.","12.050,740 Tons."
9,77502,0404722025,204,SSI ERDOGAN BEY,9401946,"182,98","50.780,00",BB,Exp,WILHELMSEN PORT SERVICE BRASIL LTDA,CEU AZUL,AÇÚCAR (BRUTO),10/09/2025 13:30,28/08/2025 21:02,10/09/2025 13:30 - 12/09/2025 16:09,"20.000,000","0,000 Tons.","42.000,000 Tons.","7.564,000 Tons.","34.436,480 Tons.","34.436,480 Tons."
10,77035,0328032025,200,FRIENDSHIP DIVA,1016111,"229,00","81.982,00",BB,Imp,CARGONAVE,FOSPAR,SULFATO DE AMONIO,03/09/2025 18:48,27/08/2025 06:30,03/09/2025 18:48 - 17/09/2025 11:25,"6.000,000","10.869,000 Tons.","69.230,000 Tons.","47.876,000 Tons.","21.354,000 Tons.","21.354,000 Tons."
11,77290,0385412025,212,XIN QI XING,9592056,"228,89","82.305,00",BB,Exp,ROCHAMAR,TIBAGI,SOJA,05/09/2025 02:50,13/08/2025 16:28,05/09/2025 02:50 - 10/09/2025 22:35,"43.200,000","28.092,000 Tons.","69.300,000 Tons.","67.126,000 Tons.","2.173,530 Tons.","2.173,530 Tons."
12,77266,0373712025,213,STAR GWYNETH,9301031,"228,99","82.703,00",BB,Exp,CARGONAVE,CARGONAVE,MILHO,09/09/2025 01:45,20/08/2025 01:48,09/09/2025 01:45 - 11/09/2025 09:58,"44.544,000","46.860,000 Tons.","68.000,000 Tons.","54.334,000 Tons.","13.665,610 Tons.","13.665,610 Tons."
13,77338,0385542025,114,GLADIATOR,9445033,"169,37","28.341,00",BB,Exp,FORTENAVE,PORTO PONTA DO FELIX S/A,AÇÚCAR,09/09/2025 18:25,20/08/2025 13:30,09/09/2025 18:25 - 18/09/2025 21:56,"2.200,000","2.360,000 Tons.","20.000,000 Tons.","5.381,000 Tons.","14.619,260 Tons.","14.619,260 Tons."
14,77229,0369642025,211,LMZ TITAN,9466908,"189,99","56.779,80",BB,Imp,FORTENAVE,FORTESOLO,CLORETOS DE POTASSIO,05/09/2025 05:30,13/08/2025 08:00,05/09/2025 05:30 - 14/09/2025 03:50,"1.058,820","0,000 Tons.","4.590,000 Tons.","4.497,000 Tons.","92,900 Tons.","13.053,290 Tons."
BB,Imp,FORTENAVE,HARBOR,CLORETOS DE POTASSIO,05/09/2025 05:30,13/08/2025 08:00,05/09/2025 05:30 - 11/09/2025 22:15,"8.941,170","8.748,000 Tons.","38.760,000 Tons.","25.800,000 Tons.","12.960,390 Tons.",,,,,,,,,
